Channel,Campaign,Campaign ID,Ad group,Ad group ID,Search keyword,Search term,Match type,Cost,Impressions,Reach,Clicks,Conversions,Age,Gender
Facebook,NA,936,NA,NA,NA,NA,NA,10.038,239,152.96,203.4368,10.7072,35-39,M
Facebook,NA,936,NA,NA,NA,NA,NA,23.049,591,330.96,172.0992,13.2384,35-39,M
Facebook,NA,936,NA,NA,NA,NA,NA,454.608,10332,7025.76,5901.6384,421.5456,35-39,M
Facebook,NA,936,NA,NA,NA,NA,NA,363.396,8259,3468.78,3746.2824,208.1268,35-39,M
Facebook,NA,936,NA,NA,NA,NA,NA,510.636,12158,8753.76,3501.504,175.0752,35-39,M
Facebook,NA,936,NA,NA,NA,NA,NA,354.614,7709,3314.87,3778.9518,198.8922,40-44,M
Facebook,NA,936,NA,NA,NA,NA,NA,25.854,834,333.6,333.6,16.68,40-44,M
Facebook,NA,936,NA,NA,NA,NA,NA,53.259,1299,636.51,216.4134,12.7302,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,15.582,371,170.66,44.3716,3.4132,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,376.776,10466,8058.82,5157.6448,644.7056,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,29.365,839,486.62,243.31,24.331,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,256.496,5576,4683.84,889.9296,46.8384,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,120.3,4010,2365.9,354.885,23.659,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,1652.154,39337,18095.02,1990.4522,180.9502,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,55.59,1635,1144.5,1030.05,57.225,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,73.395,1631,1288.49,360.7772,51.5396,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,566.118,13479,8356.98,1671.396,167.1396,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,1824.704,57022,46758.04,71072.2208,3740.6432,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,245.385,5453,2835.56,1701.336,113.4224,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,507.529,11803,10386.64,4985.5872,415.4656,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,153.324,4259,2129.5,1703.6,170.36,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,46.62,1554,1320.9,1571.871,92.463,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,234.212,5323,4045.48,3681.3868,283.1836,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,160.768,5024,3918.72,5329.4592,313.4976,35-39,F
Facebook,NA,936,NA,NA,NA,NA,NA,3244.088,104648,41859.2,7534.656,837.184,35-39,F
Facebook,NA,936,NA,NA,NA,NA,NA,382.68,8504,5867.76,6571.8912,410.7432,35-39,F
Facebook,NA,936,NA,NA,NA,NA,NA,750.249,20277,18046.53,1804.653,180.4653,35-39,F
Facebook,NA,936,NA,NA,NA,NA,NA,520.926,12403,10418.52,4375.7784,312.5556,35-39,F
Facebook,NA,936,NA,NA,NA,NA,NA,18.426,498,263.94,134.6094,7.9182,35-39,F
Facebook,NA,936,NA,NA,NA,NA,NA,29.34,652,293.4,205.38,14.67,35-39,F
Facebook,NA,936,NA,NA,NA,NA,NA,62.422,1357,800.63,432.3402,24.0189,35-39,F
Facebook,NA,936,NA,NA,NA,NA,NA,44.576,1393,1253.7,752.22,50.148,35-39,F
Facebook,NA,936,NA,NA,NA,NA,NA,21.384,648,486,87.48,14.58,40-44,F
Facebook,NA,936,NA,NA,NA,NA,NA,26.904,708,615.96,147.8304,18.4788,40-44,F
Facebook,NA,936,NA,NA,NA,NA,NA,248.652,6907,5456.53,5347.3994,381.9571,40-44,F
Facebook,NA,936,NA,NA,NA,NA,NA,1327.19,39035,16004.35,1600.435,320.087,40-44,F
Facebook,NA,936,NA,NA,NA,NA,NA,38.892,926,407.44,317.8032,24.4464,40-44,F
Facebook,NA,936,NA,NA,NA,NA,NA,167.656,4412,2338.36,1122.4128,187.0688,40-44,F
Facebook,NA,936,NA,NA,NA,NA,NA,348.775,9965,7075.15,2547.054,141.503,40-44,F
Facebook,NA,936,NA,NA,NA,NA,NA,3239.896,73634,61852.56,27833.652,1855.5768,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,3136.86,69708,40430.64,6468.9024,808.6128,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,19.08,530,318,286.2,15.9,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,641.565,14257,11263.03,4054.6908,675.7818,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,712.67,20362,10181,4276.02,305.43,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,537.46,12215,6962.55,4386.4065,487.3785,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,3416.48,85412,58080.16,77246.6128,4065.6112,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,88.844,2338,2104.2,1262.52,84.168,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,108.446,2522,1210.56,774.7584,96.8448,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,136.306,3587,2797.86,1678.716,139.893,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,50.92,1273,840.18,378.081,25.2054,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,175.095,3891,2101.14,378.2052,63.0342,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,73.632,1888,811.84,454.6304,56.8288,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,83.38,1895,852.75,613.98,34.11,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,22.88,715,314.6,151.008,9.438,35-39,M
Facebook,NA,936,NA,NA,NA,NA,NA,492.756,11199,6943.38,972.0732,69.4338,35-39,M
Facebook,NA,936,NA,NA,NA,NA,NA,238.392,5676,3519.12,1478.0304,105.5736,35-39,M
Facebook,NA,936,NA,NA,NA,NA,NA,63.675,1415,820.7,820.7,41.035,40-44,M
Facebook,NA,936,NA,NA,NA,NA,NA,77.328,2148,1009.56,393.7284,30.2868,40-44,M
Facebook,NA,936,NA,NA,NA,NA,NA,1498.233,45401,20430.45,20430.45,1021.5225,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,276.686,7478,3664.22,1319.1192,146.5688,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,206.598,4919,3394.11,1357.644,67.8822,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,15.99,533,309.14,27.8226,3.0914,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,47.751,1447,723.5,180.875,36.175,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,667.014,17553,8600.97,5676.6402,516.0582,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,133.72,3343,1704.93,664.9227,51.1479,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,24.058,523,313.8,426.768,25.104,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,59.936,1873,1535.86,1505.1428,107.5102,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,1493.82,34740,20496.6,1639.728,204.966,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,30.268,658,348.74,146.4708,10.4622,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,67.716,1539,984.96,531.8784,29.5488,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,111.37,3010,2107,695.31,63.21,35-39,F
Facebook,NA,936,NA,NA,NA,NA,NA,1001.997,27081,14082.12,10561.59,704.106,40-44,F
Facebook,NA,936,NA,NA,NA,NA,NA,910.485,20233,8497.86,3569.1012,254.9358,40-44,F
Facebook,NA,936,NA,NA,NA,NA,NA,5003.406,147159,111840.84,35789.0688,2236.8168,40-44,F
Facebook,NA,936,NA,NA,NA,NA,NA,693.248,21664,18414.4,11048.64,920.72,40-44,F
Facebook,NA,936,NA,NA,NA,NA,NA,318.92,9112,7471.84,1120.776,74.7184,40-44,F
Facebook,NA,936,NA,NA,NA,NA,NA,19.512,542,314.36,125.744,15.718,40-44,F
Facebook,NA,936,NA,NA,NA,NA,NA,14.874,402,192.96,115.776,7.7184,40-44,F
Facebook,NA,936,NA,NA,NA,NA,NA,41.478,1338,1097.16,175.5456,10.9716,40-44,F
Facebook,NA,936,NA,NA,NA,NA,NA,1569.1,46150,26305.5,3945.825,263.055,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,16296.093,493821,281477.97,151998.1038,8444.3391,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,3220.385,92011,55206.6,6624.792,1104.132,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,466.416,12956,6607.56,9250.584,462.5292,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,20.102,529,327.98,419.8144,26.2384,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,37.76,944,811.84,40.592,8.1184,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,4443.6,111090,49990.5,29994.3,2999.43,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,266.696,7208,5406,3243.6,270.3,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,61.11,1746,1204.74,843.318,60.237,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,86.59,2474,1410.18,564.072,28.2036,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,574.494,12489,9866.31,7103.7432,394.6524,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,329.312,8032,4658.56,5869.7856,326.0992,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,19.824,472,250.16,40.0256,2.5016,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,34.056,792,530.64,169.8048,21.2256,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,184.28,4607,2395.64,1006.1688,167.6948,35-39,M
Facebook,NA,936,NA,NA,NA,NA,NA,494.135,13355,11618.85,3253.278,232.377,35-39,M
Facebook,NA,936,NA,NA,NA,NA,NA,102.76,2936,2642.4,3170.88,211.392,35-39,M
Facebook,NA,936,NA,NA,NA,NA,NA,89.376,2793,1899.24,797.6808,113.9544,35-39,M
Facebook,NA,936,NA,NA,NA,NA,NA,35.088,1032,918.48,73.4784,9.1848,35-39,M
Facebook,NA,936,NA,NA,NA,NA,NA,71.466,1662,747.9,224.37,37.395,35-39,M
Facebook,NA,936,NA,NA,NA,NA,NA,168.672,4016,3132.48,1628.8896,125.2992,40-44,M
Facebook,NA,936,NA,NA,NA,NA,NA,474.976,14843,12319.69,10471.7365,615.9845,40-44,M
Facebook,NA,936,NA,NA,NA,NA,NA,406.308,9674,7448.98,8864.2862,521.4286,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,511.812,12186,9139.5,4478.355,639.765,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,27.593,673,538.4,538.4,26.92,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,13.32,370,333,266.4,26.64,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,19.35,450,256.5,107.73,15.39,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,68.541,2077,1100.81,297.2187,33.0243,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,1192.934,31393,27311.91,17752.7415,1365.5955,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,344.81,8410,6391.6,1022.656,63.916,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,983.592,25884,16306.92,2935.2456,326.1384,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,23.104,608,419.52,176.1984,12.5856,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,1139.52,28488,23075.28,3230.5392,230.7528,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,324.032,10126,6885.68,3924.8376,206.5704,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,925.452,22572,20314.8,17064.432,1218.888,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,70.38,1955,977.5,684.25,68.425,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,17.748,493,399.33,399.33,19.9665,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,67.095,1491,805.14,515.2896,64.4112,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,49.335,1495,1300.65,520.26,52.026,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,20.48,512,317.44,507.904,25.3952,35-39,F
Facebook,NA,936,NA,NA,NA,NA,NA,170.38,4868,2190.6,438.12,21.906,35-39,F
Facebook,NA,936,NA,NA,NA,NA,NA,210.72,6585,5136.3,7190.82,359.541,35-39,F
Facebook,NA,936,NA,NA,NA,NA,NA,457.38,10164,8639.4,1209.516,172.788,35-39,F
Facebook,NA,936,NA,NA,NA,NA,NA,514.372,11182,5926.46,1066.7628,177.7938,35-39,F
Facebook,NA,936,NA,NA,NA,NA,NA,56.948,1238,1114.2,133.704,11.142,35-39,F
Facebook,NA,936,NA,NA,NA,NA,NA,1501.588,34127,16039.69,1443.5721,160.3969,40-44,F
Facebook,NA,936,NA,NA,NA,NA,NA,1149.174,29466,20331.54,12198.924,813.2616,40-44,F
Facebook,NA,936,NA,NA,NA,NA,NA,1589.119,38759,27518.89,16511.334,1375.9445,40-44,F
Facebook,NA,936,NA,NA,NA,NA,NA,1501.92,41720,20025.6,3204.096,200.256,40-44,F
Facebook,NA,936,NA,NA,NA,NA,NA,595.264,18602,14695.58,2204.337,440.8674,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,3189.302,83929,54553.85,8728.616,1091.077,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,1058.148,25194,20407.14,19998.9972,1428.4998,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,3066.453,78627,62115.33,27951.8985,1863.4599,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,3286.24,102695,51347.5,43645.375,2567.375,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,2898.945,82827,39756.96,17890.632,1192.7088,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,378.84,9240,4435.2,1507.968,88.704,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,300.534,7706,3390.64,2305.6352,135.6256,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,312.84,7821,6726.06,6120.7146,470.8242,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,50.431,1363,1063.14,1009.983,53.157,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,124.915,3569,2819.51,225.5608,28.1951,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,5119.709,119063,107156.7,57864.618,3214.701,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,3467.73,99078,78271.62,42266.6748,4696.2972,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,18548.318,452398,180959.2,36191.84,3619.184,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,7266.474,191223,126207.18,114848.5338,8834.5026,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,955.288,22216,10441.52,2923.6256,417.6608,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,1883.349,48291,35252.43,46885.7319,2467.6701,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,909.447,27559,19842.48,8929.116,595.2744,40-44,F
Facebook,NA,936,NA,NA,NA,NA,NA,316.014,10194,6218.34,8954.4096,497.4672,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,49.056,1168,911.04,774.384,45.552,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,1243.906,40126,35712.14,2499.8498,357.1214,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,153.678,3659,2780.84,917.6772,83.4252,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,147.2,3200,2144,1029.12,128.64,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,317.1,7550,4228,803.32,42.28,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,1861.277,45397,25876.29,5175.258,258.7629,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,692.58,23086,16160.2,14220.976,1292.816,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,558.45,16425,10183.5,2240.37,203.67,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,1706.484,43756,32379.44,8094.86,1618.972,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,369.334,9982,4791.36,287.4816,47.9136,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,5963.226,175389,122772.3,29465.352,2455.446,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,210.45,7015,4700.05,1974.021,329.0035,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,495.534,12706,6861.24,4391.1936,548.8992,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,2191.762,70702,55854.58,12288.0076,1117.0916,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,2045.664,63927,46666.71,67200.0624,3733.3368,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,664.62,15105,9969.3,1794.474,299.079,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,315.864,8774,3948.3,3158.64,157.932,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,636.196,14459,13013.1,9889.956,520.524,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,950.224,21596,19004.48,3040.7168,380.0896,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,3071.19,66765,29376.6,5287.788,587.532,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,58.867,1369,985.68,473.1264,39.4272,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,1076.4,26910,18029.7,7211.88,901.485,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,16.192,506,404.8,85.008,12.144,30-34,F
Facebook,NA,936,NA,NA,NA,NA,NA,455.544,11988,7312.68,2486.3112,146.2536,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,832.179,19353,13160.04,8685.6264,789.6024,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,383.6,10960,9754.4,8583.872,780.352,40-44,M
Facebook,NA,936,NA,NA,NA,NA,NA,1071.712,33491,18085.14,13021.3008,1446.8112,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,843.486,20083,9840.67,1082.4737,98.4067,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,335.046,8817,4937.52,1629.3816,148.1256,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,494.912,15466,11599.5,14847.36,927.96,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,920.448,27072,15701.76,6280.704,628.0704,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,724.638,15753,12129.81,12129.81,606.4905,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,112.736,3523,1937.65,271.271,19.3765,40-44,M
Facebook,NA,936,NA,NA,NA,NA,NA,302.055,7745,6505.8,1301.16,65.058,40-44,M
Facebook,NA,936,NA,NA,NA,NA,NA,673.524,18709,14218.84,19337.6224,1137.5072,40-44,M
Facebook,NA,936,NA,NA,NA,NA,NA,360.99,8022,6979.14,3489.57,348.957,40-44,M
Facebook,NA,936,NA,NA,NA,NA,NA,350.504,7966,4779.6,2103.024,191.184,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,157.016,4132,1859.4,1190.016,74.376,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,524.185,12785,5625.4,2025.144,168.762,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,369.585,8213,6077.62,3160.3624,243.1048,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,19.075,545,228.9,288.414,16.023,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,99.16,2479,1834.46,1981.2168,110.0676,40-44,M
Facebook,NA,936,NA,NA,NA,NA,NA,167.728,3812,2134.72,853.888,42.6944,40-44,M
Facebook,NA,936,NA,NA,NA,NA,NA,56.315,1609,1432.01,1832.9728,114.5608,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,400.023,10257,7590.18,6072.144,607.2144,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,407.748,12356,8896.32,800.6688,88.9632,40-44,M
Facebook,NA,936,NA,NA,NA,NA,NA,318.63,7410,4001.4,2080.728,160.056,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,5043.528,140098,119083.3,95266.64,5954.165,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,3745.735,107021,95248.69,106678.5328,7619.8952,45-49,M
Facebook,NA,936,NA,NA,NA,NA,NA,109.083,2797,1566.32,2083.2056,109.6424,35-39,M
